rule_id,contract_clause_id,retrieved_sentence,retrieval_score
R1,R1_n0,7.1_ii: name and contact details of the Controller;,
R2,R2_n0,7.1_i: the name and contact details of the Processor and any Sub-processors and where applicable their respective representatives and/or data protection officer;,
R3,R3_n0,9.1: Processor will give Controller access to system functionality in order for the Controller to delete and/or return (i.e. export) any and all of Controller’s data including the Personal Data during the Agreement.,
R4,R4_n0,"2.3: The details of the Processing of Personal Data, and in particular the categories of Data Subjects, types of Personal Data and the purposes for which they are Processed, are specified in Appendix 1, which forms an integral part of the Agreement.",
R4,R4_n1,"1.1__2: Depending on the scope and nature of the Main Agreement, the activities to be performed by the Processor under this Agreement relevant to the Processing of Personal Data may include the following:",
R5,R5_n0,3.1__2: The Personal Data Processed may fall within any of the following categories of data.,
R5,R5_n1,"3.2__2: Non-sensitive data (cf. GDPR article 6) of any kind including but not limited to contact information such as name, address, phone and/or mobile, gender, age, date of birth, preferences, employment position, family status etc.",
R5,R5_n2,3.3__2: National identification number.,
R5,R5_n3,3.4__2: Sensitive data (cf. GDPR article 9)*.,
R5,R5_n4,"3.5_main: Data relating to criminal convictions and offences (cf. GDPR art. 10). *Sensitive data includes: data revealing racial or ethnic origin, political opinions, religious and/or philosophical beliefs, trade union membership, processing of genetic data or biometric data for the purpose of uniquely identifying a natural person, data concerning health and/or data concerning a natural person's sex life or sexual orientation Please note that for the processing of sensitive data, explicit consent of the Data Subject is required.",
R6,R6_n0,"2.1__2: The Controller will import Personal Data to the Services for Processing by Processor that may concern any of the following categories of Data Subjects, including but not limited to:",
R6,R6_n1,"2.1.1: Controller’s employees, board members and officers",
R6,R6_n2,"2.1.2: Controller’s customers, clients and other business partners",
R6,R6_n3,2.1.3: Citizens of Controller,
R6,R6_n4,"2.1.4: Students, pupils and other users of public and private institutions",
R6,R6_n5,2.1.5: Children,
R6,R6_n6,2.1.6: Patients and relatives,
R6,R6_n7,2.1.7: Private users,
R6,R6_n8,2.1.8: Business Users,
R6,R6_n9,"2.1.9: Members of foundations, unions, associations and/or political originations",
R7,R7_n0,"Appendix 2 Security of Processing This Appendix forms part of the Agreement. 1. Taking into account the state of the art, the costs of implementation and the nature, scope, context and purposes of Processing as well as the risk of varying likelihood and severity for the rights and freedoms of natural persons, the Controller and the Processor shall implement appropriate technical and organisational measures to ensure a level of security appropriate to the risk, including inter alia as appropriate: (a) encryption of Personal Data when transmitted via public networks and in connection with remote access to Controller’s systems; (b) the ability to ensure the ongoing confidentiality, integrity, availability and resilience of Processing systems and Services;",
R8,R8_n0,6.2_main: The aforementioned notification shall describe the nature of the Personal Data Breach including where possible:,
R8,R8_n1,6.2_ii: the likely consequences of the Personal Data Breach;,
R8,R8_n2,6.2_iii: reasonable measures taken or proposed by the Processor to mitigate the consequences of the Personal Data Breach.,
R10,R10_n0,"10.1_main: The Processor shall not engage a Sub-processor, unless this is approved by the Controller by",
R11,R11_n0,"10.3: In the case of general written authorisation, the Processor shall inform the Controller of any intended changes concerning the addition or replacement of Sub-processors, thereby giving the Controller the opportunity to object to such changes.",
R12,R12_n0,2.1__1: The Controller hereby authorises the Processor to Process the Personal Data on behalf of the Controller on the terms and conditions set out in this Agreement. The Processor shall Process the Personal Data only on documented instructions from the Controller. The Parties agree that this Agreement shall constitute the instructions as of the date of the Agreement.,
R14,R14_n0,"5.2: to Process Personal Data only in accordance with the instructions from the Controller, cf. clause 2 of this Agreement, including with regard to transfers of Personal Data to a Third Country or an international organisation, unless required to do so by Union or Member State law to which the Processor is subject; in such a case, the Processor shall inform the Controller of that legal requirement before Processing, unless that law prohibits such information on important grounds of public interest;",
R15,R15_n0,12.3: Processor ensures that persons authorised to process the Personal Data have committed themselves to confidentiality or are under an appropriate statutory obligation of confidentiality.,
R16,R16_n0,3.1__1: The Processor agrees to implement appropriate technical and organisational measures in such a manner that the Processing of the Personal Data will meet the requirements of the GDPR and other applicable national and EU data protection law and ensure the protection of the rights of the Data Subjects.,
R16,R16_n1,5.1: to Process the Personal Data in accordance with the security measures set out in Appendix 2;,
R17,R17_n0,"5.3: where necessary and taking into account the nature of the Processing, to assist the Controller by appropriate technical and organisational measures, insofar as this is possible, for the fulfilment of the Controller's obligation by law to respond to requests for exercising the Data Subjects’ rights laid down in chapter III of the GDPR;",
R18,R18_n0,5.1: to Process the Personal Data in accordance with the security measures set out in Appendix 2;,
R18,R18_n1,3.1__1: The Processor agrees to implement appropriate technical and organisational measures in such a manner that the Processing of the Personal Data will meet the requirements of the GDPR and other applicable national and EU data protection law and ensure the protection of the rights of the Data Subjects.,
R19,R19_n0,"5.4: where necessary and taking into account the nature of the Processing, to assist the Controller in its compliance with an obligation to carry out a data protection impact assessment (“DPIA”) and prior consulting of supervisory authorities where required, cf. articles 35 and 36 of the GDPR;",
R20,R20_n0,5.9: to notify Controller in the event of a Personal Data Breach as set out in clause 6 of this Agreement;,
R20,R20_n1,6.1: Processor will notify the Controller without undue delay after becoming aware of a Personal Data Breach.,
R21,R21_n0,6.2_ii: the likely consequences of the Personal Data Breach;,
R21,R21_n1,6.2_iii: reasonable measures taken or proposed by the Processor to mitigate the consequences of the Personal Data Breach.,
R22,R22_n0,"5.4: where necessary and taking into account the nature of the Processing, to assist the Controller in its compliance with an obligation to carry out a data protection impact assessment (“DPIA”) and prior consulting of supervisory authorities where required, cf. articles 35 and 36 of the GDPR;",
R23,R23_n0,"9.1: Processor will give Controller access to system functionality in order for the Controller to delete and/or return (i.e. export) any and all of Controller’s data including the Personal Data during the Agreement. Upon expiry of the Agreement the Processor will delete all of Controller’s data including the Personal Data, unless EU or national Member State law requires storage of the Personal Data.",
R24,R24_n0,"5.2: to Process Personal Data only in accordance with the instructions from the Controller, cf. clause 2 of this Agreement, including with regard to transfers of Personal Data to a Third Country or an international organisation, unless required to do so by Union or Member State law to which the Processor is subject; in such a case, the Processor shall inform the Controller of that legal requirement before Processing, unless that law prohibits such information on important grounds of public interest;",
R25,R25_n0,5.5: to provide Controller upon request and within reasonable time the information necessary to demonstrate compliance with the obligations laid down in this clause 5;,
R25,R25_n1,7.2: The Processor shall make the records available to the Controller and the supervisory authority on request.,
R26,R26_n0,"5.7: to allow for and contribute during normal business hours to reasonably necessary audits including inspections, conducted by an external qualified auditor mandated by the Controller, solely for the purpose of fulfilment of the Controller's obligations laid down in Article 28 of the GDPR and for accurately stipulated research questions in this connection provided that such external qualified auditor is subject to and bound by confidentiality obligations as stipulated in clause 12 of this Agreement;",
R27,R27_n0,"10.2: In the event that Processor engages Sub-processors for carrying out Processing activities on behalf of the Controller in accordance with Appendix 5, the same data protection obligations as set out in this Agreement shall be imposed on that Sub-processor by way of a contract or other legal act under EU or national Member State law, in particular providing sufficient guarantees to implement appropriate technical and organisational measures in such a manner that the Processing will meet the requirements of this Agreement.",
R28,R28_n0,10.4: Processor shall remain liable to the Controller for the performance of its Sub- processor's obligations.,
R29,R29_n0,"Appendix 2 Security of Processing This Appendix forms part of the Agreement. 2. In assessing the appropriate level of security account shall be taken in particular of the risks that are presented by Processing, in particular from accidental or unlawful destruction, loss, alteration, unauthorised disclosure of, or access to Personal Data transmitted, stored or otherwise processed.",
R30,R30_n0,"5.2: to Process Personal Data only in accordance with the instructions from the Controller, cf. clause 2 of this Agreement, including with regard to transfers of Personal Data to a Third Country or an international organisation, unless required to do so by Union or Member State law to which the Processor is subject; in such a case, the Processor shall inform the Controller of that legal requirement before Processing, unless that law prohibits such information on important grounds of public interest;",
R31,R31_n0,"5.8: to once a year make an audit report available on the Processor’s website with information indicating that the Processor complies with the Agreement. The report shall be based on applicable, acknowledged audit standards, e.g. ISAE 3000 or 3402, ISO 27001 or similar;",
R32,R32_n0,3.1__1: The Processor agrees to implement appropriate technical and organisational measures in such a manner that the Processing of the Personal Data will meet the requirements of the GDPR and other applicable national and EU data protection law and ensure the protection of the rights of the Data Subjects.,
R32,R32_n1,"Appendix 2 Security of Processing This Appendix forms part of the Agreement. 1. Taking into account the state of the art, the costs of implementation and the nature, scope, context and purposes of Processing as well as the risk of varying likelihood and severity for the rights and freedoms of natural persons, the Controller and the Processor shall implement appropriate technical and organisational measures to ensure a level of security appropriate to the risk, including inter alia as appropriate: (a) encryption of Personal Data when transmitted via public networks and in connection with remote access to Controller’s systems; (b) the ability to ensure the ongoing confidentiality, integrity, availability and resilience of Processing systems and Services;",
R33,R33_n0,"12.4: The Processor must ensure that the persons performing work for the Processor and who have access to Personal Data, only process such Personal Data as instructed by the Controller, unless processing is required under applicable EU law or national legislation.",
R34,R34_n0,6.1: Processor will notify the Controller without undue delay after becoming aware of a Personal Data Breach.,
R36,R36_n0,"10.3: In the case of general written authorisation, the Processor shall inform the Controller of any intended changes concerning the addition or replacement of Sub-processors, thereby giving the Controller the opportunity to object to such changes.",
R37,R37_n0,"11.2: The Processor shall use reasonable endeavours to comply with any legislative changes. However, the Processor shall not be obligated to implement any change of the instructions if the Parties cannot in good faith agree to reasonable terms for the implementation. If the Parties fail to agree in good faith to reasonable terms regarding change of the instructions each Party shall be entitled to terminate this Agreement with a written notice of 60 days, provided that such changes are deemed necessary to comply with the GDPR or other applicable EU or national data protection laws and regulation. The Main Agreement and any other agreement between the Parties involving Processing of Personal Data shall automatically terminate at the same time.",
R38,R38_n0,"11.2: The Processor shall use reasonable endeavours to comply with any legislative changes. However, the Processor shall not be obligated to implement any change of the instructions if the Parties cannot in good faith agree to reasonable terms for the implementation. If the Parties fail to agree in good faith to reasonable terms regarding change of the instructions each Party shall be entitled to terminate this Agreement with a written notice of 60 days, provided that such changes are deemed necessary to comply with the GDPR or other applicable EU or national data protection laws and regulation. The Main Agreement and any other agreement between the Parties involving Processing of Personal Data shall automatically terminate at the same time.",
R39,R39_n0,6.1: Processor will notify the Controller without undue delay after becoming aware of a Personal Data Breach.,
R42,R42_n0,"5.4: where necessary and taking into account the nature of the Processing, to assist the Controller in its compliance with an obligation to carry out a data protection impact assessment (“DPIA”) and prior consulting of supervisory authorities where required, cf. articles 35 and 36 of the GDPR;",
R46,R46_n0,13.1: The Processor shall be liable for damages in accordance with the general rules of Danish law subject to the limitations set out in this clause 13.,
