rule_id,contract_clause_id,retrieved_sentence,retrieval_score
R1,7.1_ii,name and contact details of the Controller;,0.5989
R2,7.1_i,the name and contact details of the Processor and any Sub-processors and where applicable their respective representatives and/or data protection officer;,0.5887
R3,14.5,"Notwithstanding termination of this Agreement according to this clause 14, the Agreement shall be force for as long as the Processor Processes Personal Data on behalf of the Controller for example in respect of the deletion processes described in Appendix 4. 15. Governing Law and amendments",0.5128
R3,1.2__3_20,"days will take effect. The grace period is provided, in case the Controller and Processor mutually agree to re-enter into/continue the Agreement. If not, the deletion process will automatically initiate after the expiry of the grace period. Hereafter Controller’s data will be automatically deleted after ninety",0.4923
R4,2.3,"The details of the Processing of Personal Data, and in particular the categories of Data Subjects, types of Personal Data and the purposes for which they are Processed, are specified in Appendix 1, which forms an integral part of the Agreement. 3. Security measures",0.5218
R5,2.3,"The details of the Processing of Personal Data, and in particular the categories of Data Subjects, types of Personal Data and the purposes for which they are Processed, are specified in Appendix 1, which forms an integral part of the Agreement. 3. Security measures",0.5450
R6,2.3,"The details of the Processing of Personal Data, and in particular the categories of Data Subjects, types of Personal Data and the purposes for which they are Processed, are specified in Appendix 1, which forms an integral part of the Agreement. 3. Security measures",0.5661
R6,2.1__2,"The Controller will import Personal Data to the Services for Processing by Processor that may concern any of the following categories of Data Subjects, including but not limited to:",0.5594
R7,3.5_c,the ability to restore the availability and access to Personal Data in a timely manner in the event of a physical or technical incident;,0.5639
R7,3.5_d,"a process for testing, assessing and evaluating the effectiveness of technical and organisational measures for ensuring the security of the Processing. 2. In assessing the appropriate level of security account shall be taken in particular of the risks that are presented by Processing, in particular from accidental or unlawful destruction, loss, alteration, unauthorised disclosure of, or access to Personal Data transmitted, stored or otherwise processed. 3. The Processor hosts the data, including Personal Data, of the Controller via Microsoft Cloud Azure. The online hosting Services are delivered from data centres solely situated within EU, in Ireland and the Netherlands. 4. Microsoft Azure platform provides the security measures as described on www.Processor.com. 5. Particular security measures to be taken out by the Processor under this Agreement are specified in detail on www.Processor.com (Processor's Security and Privacy Protection Policies). Appendix 3 Costs for assistance and audits This Appendix forms part of the Agreement. 1. In the event that Controller requires assistance from the Processor or any of the Processor’s Sub-processors pursuant to this Agreement, such assistance is charged as follows:",0.5488
R7,3.5_main,"Data relating to criminal convictions and offences (cf. GDPR art. 10). *Sensitive data includes: data revealing racial or ethnic origin, political opinions, religious and/or philosophical beliefs, trade union membership, processing of genetic data or biometric data for the purpose of uniquely identifying a natural person, data concerning health and/or data concerning a natural person's sex life or sexual orientation Please note that for the processing of sensitive data, explicit consent of the Data Subject is required. Appendix 2 Security of Processing This Appendix forms part of the Agreement. 1. Taking into account the state of the art, the costs of implementation and the nature, scope, context and purposes of Processing as well as the risk of varying likelihood and severity for the rights and freedoms of natural persons, the Controller and the Processor shall implement appropriate technical and organisational measures to ensure a level of security appropriate to the risk, including inter alia as appropriate: (a) encryption of Personal Data when transmitted via public networks and in connection with remote access to Controller’s systems; (b) the ability to ensure the ongoing confidentiality, integrity, availability and resilience of Processing systems and Services;",0.5482
R8,6.2_main,The aforementioned notification shall describe the nature of the Personal Data Breach including where possible:,0.7129
R8,6.2_ii,the likely consequences of the Personal Data Breach;,0.6002
R9,5.4,"where necessary and taking into account the nature of the Processing, to assist the Controller in its compliance with an obligation to carry out a data protection impact assessment (“DPIA”) and prior consulting of supervisory authorities where required, cf. articles 35 and 36 of the GDPR;",0.5334
R10,10.1_main,"The Processor shall not engage a Sub-processor, unless this is approved by the Controller by",0.7104
R10,10.3,"In the case of general written authorisation, the Processor shall inform the Controller of any intended changes concerning the addition or replacement of Sub-processors, thereby giving the Controller the opportunity to object to such changes. However, the Controller cannot object to any intended changes concerning the addition or replacement of Sub-processors, if the new Sub-processor provides sufficient guarantees with respect to implementation of appropriate technical and organizational measures in such a manner that the Processing will meet the requirements of the GDPR as outlined in this Agreement. If the Controller does not object to changes concerning the addition or replacement of Sub-processors within 30 days from the Processor’s notification of the intended changes, such changes shall be deemed to be accepted by the Controller.",0.6133
R11,10.3,"In the case of general written authorisation, the Processor shall inform the Controller of any intended changes concerning the addition or replacement of Sub-processors, thereby giving the Controller the opportunity to object to such changes. However, the Controller cannot object to any intended changes concerning the addition or replacement of Sub-processors, if the new Sub-processor provides sufficient guarantees with respect to implementation of appropriate technical and organizational measures in such a manner that the Processing will meet the requirements of the GDPR as outlined in this Agreement. If the Controller does not object to changes concerning the addition or replacement of Sub-processors within 30 days from the Processor’s notification of the intended changes, such changes shall be deemed to be accepted by the Controller.",0.7655
R11,3.2__3,If the Processor uses one or more Sub-processors for the provision of consultancy Services this is regulated in detail in the Main Agreement (Consultancy Agreement). The Processor will notify the Controller in accordance with clause 10.3 of the Agreement if changes in the Sub- processors applied for the provision of the consultancy Services are made.,0.5798
R12,2.1__1,"The Controller hereby authorises the Processor to Process the Personal Data on behalf of the Controller on the terms and conditions set out in this Agreement. The Processor shall Process the Personal Data only on documented instructions from the Controller. The Parties agree that this Agreement shall constitute the instructions as of the date of the Agreement. The Processor may – unless otherwise specifically is set out in the Agreement – apply all relevant means, including software, servers and IT systems.",0.7171
R12,5.2,"to Process Personal Data only in accordance with the instructions from the Controller, cf. clause 2 of this Agreement, including with regard to transfers of Personal Data to a Third Country or an international organisation, unless required to do so by Union or Member State law to which the Processor is subject; in such a case, the Processor shall inform the Controller of that legal requirement before Processing, unless that law prohibits such information on important grounds of public interest;",0.6865
R12,12.4,"The Processor must ensure that the persons performing work for the Processor and who have access to Personal Data, only process such Personal Data as instructed by the Controller, unless processing is required under applicable EU law or national legislation. 13. Liability",0.6822
R13,5.2,"to Process Personal Data only in accordance with the instructions from the Controller, cf. clause 2 of this Agreement, including with regard to transfers of Personal Data to a Third Country or an international organisation, unless required to do so by Union or Member State law to which the Processor is subject; in such a case, the Processor shall inform the Controller of that legal requirement before Processing, unless that law prohibits such information on important grounds of public interest;",0.6142
R14,5.2,"to Process Personal Data only in accordance with the instructions from the Controller, cf. clause 2 of this Agreement, including with regard to transfers of Personal Data to a Third Country or an international organisation, unless required to do so by Union or Member State law to which the Processor is subject; in such a case, the Processor shall inform the Controller of that legal requirement before Processing, unless that law prohibits such information on important grounds of public interest;",0.6072
R15,12.3,Processor ensures that persons authorised to process the Personal Data have committed themselves to confidentiality or are under an appropriate statutory obligation of confidentiality.,0.8199
R16,3.1__1,The Processor agrees to implement appropriate technical and organisational measures in such a manner that the Processing of the Personal Data will meet the requirements of the GDPR and other applicable national and EU data protection law and ensure the protection of the rights of the Data Subjects.,0.6141
R16,3.2__1,"The details of the security measures taken by Processor in this respect of the Processing of Personal Data, are specified in Appendix 2, which forms an integral part of the Agreement.",0.5781
R16,3.3__1,The Parties agree that the technical and organisational measures and level of security set out in Appendix 2 are sufficient to comply with the Processor’s obligations set lout in this clause 3 at the time of the conclusion of this Agreement.,0.5538
R17,5.3,"where necessary and taking into account the nature of the Processing, to assist the Controller by appropriate technical and organisational measures, insofar as this is possible, for the fulfilment of the Controller's obligation by law to respond to requests for exercising the Data Subjects’ rights laid down in chapter III of the GDPR;",0.6956
R18,5.4,"where necessary and taking into account the nature of the Processing, to assist the Controller in its compliance with an obligation to carry out a data protection impact assessment (“DPIA”) and prior consulting of supervisory authorities where required, cf. articles 35 and 36 of the GDPR;",0.6051
R19,5.4,"where necessary and taking into account the nature of the Processing, to assist the Controller in its compliance with an obligation to carry out a data protection impact assessment (“DPIA”) and prior consulting of supervisory authorities where required, cf. articles 35 and 36 of the GDPR;",0.6605
R20,5.4,"where necessary and taking into account the nature of the Processing, to assist the Controller in its compliance with an obligation to carry out a data protection impact assessment (“DPIA”) and prior consulting of supervisory authorities where required, cf. articles 35 and 36 of the GDPR;",0.6029
R20,5.6,"to cooperate (including representatives of Processor), on the Controller’s request, with the supervisory authority in the performance of its tasks;",0.6027
R21,5.3,"where necessary and taking into account the nature of the Processing, to assist the Controller by appropriate technical and organisational measures, insofar as this is possible, for the fulfilment of the Controller's obligation by law to respond to requests for exercising the Data Subjects’ rights laid down in chapter III of the GDPR;",0.5696
R22,5.4,"where necessary and taking into account the nature of the Processing, to assist the Controller in its compliance with an obligation to carry out a data protection impact assessment (“DPIA”) and prior consulting of supervisory authorities where required, cf. articles 35 and 36 of the GDPR;",0.7393
R23,9.1,"Processor will give Controller access to system functionality in order for the Controller to delete and/or return (i.e. export) any and all of Controller’s data including the Personal Data during the Agreement. Upon expiry of the Agreement the Processor will delete all of Controller’s data including the Personal Data, unless EU or national Member State law requires storage of the Personal Data.",0.7326
R23,9.2,"The process and timeframes for deletion of Controller’s data including the Personal Data is described in Appendix 4, which forms an integral part of the Agreement.",0.5971
