rule_id,stage,detail,gt_sentence
R2,no_containment,GT 句子不在任何合約 source_text,between:
R2,no_containment,GT 句子不在任何合約 source_text,"customer hereinafter referred to as ""controller"""
R2,RECOVERED,in compliant.csv,and
R2,no_containment,GT 句子不在任何合約 source_text,"processor, having its registered address at refshalevej 14, 1423 havana, cuba, hereinafter referred to as: ""processor"""
R2,no_containment,GT 句子不在任何合約 source_text,"collectively referred to as ""parties"" and individually referred to as ""party""."
R3,RECOVERED,in compliant.csv,"notwithstanding termination of this agreement according to this clause 14, the agreement shall be force for as long as the processor processes personal data on behalf of the controller for example in respect of the deletion processes described in appendix 4."
R4,no_containment,GT 句子不在任何合約 source_text,"the purpose of the agreement is to ensure the parties' compliance with article 28 (3) of the general data protection regulation, regulation (eu) 2016/679 of the european parliament and of the council of 27 april 2016 (hereinafter ""the gdpr"") stipulating specific requirements to the content of a data processing agreement."
R5,lost_at_6c,6c=Gap (未進 compliant.csv),the personal data processed may fall within any of the following categories of data.
R5,RECOVERED,in compliant.csv,"non-sensitive data (cf. gdpr article 6) of any kind including but not limited to contact information such as name, address, phone and/or mobile, gender, age, date of birth, preferences, employment position, family status etc."
R5,lost_at_6b,"passed 6a, cosine < threshold",national identification number.
R5,RECOVERED,in compliant.csv,sensitive data (cf. gdpr article 9)*.
R5,lost_at_6c,6c=Gap (未進 compliant.csv),data relating to criminal convictions and offences (cf. gdpr art. 10).
R5,lost_at_6c,6c=Gap (未進 compliant.csv),"*sensitive data includes: data revealing racial or ethnic origin, political opinions, religious and/or philosophical beliefs, trade union membership, processing of genetic data or biometric data for the purpose of uniquely identifying a natural person, data concerning health and/or data concerning a natural person's sex life or sexual orientation"
R6,lost_at_6c,6c=Gap (未進 compliant.csv),"the controller will import personal data to the services for processing by processor that may concern any of the following categories of data subjects, including but not limited to:"
R6,RECOVERED,in compliant.csv,"controller's employees, board members and officers"
R6,RECOVERED,in compliant.csv,"controller's customers, clients and other business partners"
R6,RECOVERED,in compliant.csv,citizens of controller
R6,RECOVERED,in compliant.csv,"students, pupils and other users of public and private institutions"
R6,RECOVERED,in compliant.csv,children
R6,RECOVERED,in compliant.csv,patients and relatives
R6,RECOVERED,in compliant.csv,private users
R6,RECOVERED,in compliant.csv,business users
R6,RECOVERED,in compliant.csv,"members of foundations, unions, associations and/or political originations"
R7,RECOVERED,in compliant.csv,the processor agrees to implement appropriate technical and organisational measures in such a manner that the processing of the personal data will meet the requirements of the gdpr and other applicable national and eu data protection law and ensure the protection of the rights of the data subjects.
R8,no_containment,GT 句子不在任何合約 source_text,the aforementioned notification shall describe the nature of the personal data breach including where possible: (i) the (estimated) time of the personal data breach; (ii) the likely consequences of the personal data breach; (iii) reasonable measures taken or proposed by the processor to mitigate the consequences of the personal data breach.
R10,no_containment,GT 句子不在任何合約 source_text,"the processor shall not engage a sub-processor, unless this is approved by the controller by (i) a general or specific authorisation according to appendix 5 to this agreement or (ii) specific instruction from the controller."
R10,RECOVERED,in compliant.csv,the controller hereby gives the processor its prior general written authorisation to the processor to use sub-processors.
R10,lost_at_6c,6c=Violation (未進 compliant.csv),"if the controller and the processor has entered into a consultancy agreement as part of the main agreement, the processor may engage sub- processors for the provision of the consultancy services to the controller."
R11,RECOVERED,in compliant.csv,"in the case of general written authorisation, the processor shall inform the controller of any intended changes concerning the addition or replacement of sub-processors, thereby giving the controller the opportunity to object to such changes."
R11,no_containment,GT 句子不在任何合約 source_text,"in the event that (i) the changes cannot be made due to technical, practical or legal reasons, (ii) the controller explicitly states that the changes are to apply before implementation is possible, or (iii) during the period until the parties carry through any necessary changes of the agreement in accordance with the amendment procedures herein."
R12,RECOVERED,in compliant.csv,the processor shall process the personal data only on documented instructions from the controller.
R12,RECOVERED,in compliant.csv,"to process personal data only in accordance with the instructions from the controller, cf."
R13,RECOVERED,in compliant.csv,"clause 2 of this agreement, including with regard to transfers of personal data to a third country or an international organisation, unless required to do so by union or member state law to which the processor is subject; in such a case, the processor shall inform the controller of that legal requirement before processing, unless that law prohibits such information on important grounds of public interest;"
R14,RECOVERED,in compliant.csv,"clause 2 of this agreement, including with regard to transfers of personal data to a third country or an international organisation, unless required to do so by union or member state law to which the processor is subject; in such a case, the processor shall inform the controller of that legal requirement before processing, unless that law prohibits such information on important grounds of public interest;"
R15,RECOVERED,in compliant.csv,processor ensures that persons authorised to process the personal data have committed themselves to confidentiality or are under an appropriate statutory obligation of confidentiality.
R16,RECOVERED,in compliant.csv,the processor agrees to implement appropriate technical and organisational measures in such a manner that the processing of the personal data will meet the requirements of the gdpr and other applicable national and eu data protection law and ensure the protection of the rights of the data subjects.
R17,RECOVERED,in compliant.csv,"where necessary and taking into account the nature of the processing, to assist the controller by appropriate technical and organisational measures, insofar as this is possible, for the fulfilment of the controller's obligation by law to respond to requests for exercising the data subjects' rights laid down in chapter iii of the gdpr;"
R23,RECOVERED,in compliant.csv,"upon expiry of the agreement the processor will delete all of controller's data including the personal data, unless eu or national member state law requires storage of the personal data."
R23,no_containment,GT 句子不在任何合約 source_text,hereafter controller's data will be automatically deleted after ninety (90) days.
R25,RECOVERED,in compliant.csv,to provide controller upon request and within reasonable time the information necessary to demonstrate compliance with the obligations laid down in this clause 5;
R25,RECOVERED,in compliant.csv,the processor shall make the records available to the controller and the supervisory authority on request.
R26,RECOVERED,in compliant.csv,"to allow for and contribute during normal business hours to reasonably necessary audits including inspections, conducted by an external qualified auditor mandated by the controller, solely for the purpose of fulfilment of the controller's obligations laid down in article 28 of the gdpr and for accurately stipulated research questions in this connection provided that such external qualified auditor is subject to and bound by confidentiality obligations as stipulated in clause 12 of this agreement;"
R26,lost_at_6c,6c=Gap (未進 compliant.csv),"if the controller requests the processor to document its sub-processor's compliance with the obligations laid down in article 28 of the gdpr the processor shall be entitled to fulfil this obligation by referring controller to the relevant audit reports or similar documentation made available by the respective sub-processors with information indicating that the sub-processor in question complies with the gdpr, provided that such audit report(s) or similar documentation shall be based on applicable, acknowledged audit standards, e.g."
R26,lost_at_6c,6c=Gap (未進 compliant.csv),"isae 3000 or 3402, iso 27001 or similar standards."
