rule_id,contract_clause_id,retrieved_sentence,retrieval_score
R1,main_1.1,"This agreement re processing of personal data (the ”Data Processor Agreement”) regulates Processor, Company registration no. 25163258 (the ”Data Processor”) processing of personal data on behalf of the customer (the ”Data Controller”) and is attached as appendix A to the Processor subscription agreement (the ”Main Agreement”), in which the parties have agreed the terms for the Data Processor’s delivery of services to the Data Controller (the ”Main Services”). 2. Legislation",
R5,main_3.1,"In connection with the Data Processor’s delivery of the Main Services to the Data Controller, the Data Processor will process certain categories and types of the Data Controller’s personal data on behalf of the Data Controller.",
R5,main_3.2_1,(the ”Personal Data”). The categories and types of Personal Data processed by the Data Processor on behalf of the Data Controller are listed in sub-appendix A. The Data Processor only performs processing activities that are necessary and relevant to perform the Main Services. The parties shall update sub-appendix A whenever changes occur that necessitates an update.,
R12,main_4.1,The Data Processor may only act and process the Personal Data in accordance with the documented instruction from the Data Controller (the ”Instruction”). The Instruction at the time of entering into this Data Processor Agreement is that the Data Processor may only process the Personal Data with the purpose of delivering the Main Services as described in the Main Agreement.,
R24,main_4.3,The Data Processor shall give notice without undue delay if the Data Processor considers the at the time being Instruction to be in conflict with the Applicable Law. 5. The data Processor’s obligations,
R15,main_5.1,Confidentiality,
R15,main_5.1.1,"The Data Processor shall treat all the Personal Data as strictly confidential information. The Personal Data may not be copied, transferred or otherwise processed in conflict with the Instruction, unless the Data Controller in writing has agreed hereto.",
R15,main_5.1.2,The Data Processor’s employees shall be subject to an obligation of confidentiality that ensures that the employees shall treat all the Personal Data under this Data Processor Agreement with strict confidentiality.,
R32,main_5.2,Security,
R32,main_5.2.1,"The Data Processor shall implement the appropriate technical and organizational measures as set out in this Agreement and in the Applicable Law, including in accordance with GDPR, article 32.",
R15,main_5.3,The Data Processor shall ensure that access to the Personal Data is restricted to only the employees to whom it is necessary and relevant to process the Personal Data in order for the Data Processor to perform its obligations under the Main Agreement and this Data Processor Agreement.,
R33,main_5.4,The Data Processor shall also ensure that the Data Processor’s employees working processing the Personal Data only processes the Personal Data in accordance with the Instruction.,
R25,main_5.4.1,The Data Processor shall provide documentation for the Data Processor’s security measures if requested by the Data Controller in writing.,
R22,main_5.5,Data protection impact assessments and prior consultation,
R22,main_5.5.1,"If the Data Processor’s assistance is necessary and relevant, the Data Processor shall assist the Data Controller in preparing data protection impact assessments in accordance with GDPR, article 35, along with any prior consultation in accordance with GDPR, article 36.",
R17,main_5.6,Rights of the data subjects,
R17,main_5.6.1,"If the Data Controller receives a request from a data subject for the exercise of the data subject’s rights under the Applicable Law and the correct and legitimate reply to such a request necessitates the Data Processor’s assistance, the Data Processor shall assist the Data Controller by providing the necessary information and documentation. The Data Processor shall be given reasonable time to assist the Data Controller with such requests in accordance with the Applicable Law.",
R17,main_5.6.2,"If the Data Processor receives a request from a data subject for the exercise of the data subject’s rights under the Applicable Law and such request is related to the Personal Data of the Data Controller, the Data Processor must immediately forward the request to the Data Controller and must refrain from responding to the person directly.",
R34,main_5.7,Personal Data Breaches,
R34,main_5.7.1,"The Data Processor shall give immediate notice to the Data Controller if a breach of the data security occurs, that can lead to the accidental or unlawful destruction, loss, alteration, unauthorized disclosure of or access to, personal data transmitted, stored or otherwise processed re the Personal Data processed on behalf of the Data Controller (a “Personal Data Breach”).",
R8,main_5.7.2_main,The Data Processor shall have and maintain a register of all Personal Data Breaches. The register shall at a minimum include the following:,
R8,main_5.7.2_i,"A description of the nature of the Personal Data Breach, including, if possible, the categories and the approximate number of affected Data Subjects and the categories and the approximate number of affected registrations of personal data.",
R8,main_5.7.2_ii,A description of the likely as well as actually occurred consequences of the Personal Data Breach.,
R8,main_5.7.2_iii,"A description of the measures that the Data Processor has taken or proposes to take to address the Personal Data Breach, including, where appropriate, measures taken to mitigate its adverse effects.",
R25,main_5.8,Documentation of compliance,
R25,main_5.8.1_main,The Data Processor shall after the Data Controller’s written request hereof provide documentation substantiating that:,
R25,main_5.8.1_i,the Data Processor complies with its obligations under this Data Processor Agreement and the Instruction; and,
R25,main_5.8.1_ii,the Data Processor complies with the Applicable Law in respect of the processing of the Data Controller’s Personal Data.,
R25,main_5.8.2,The Data Processor’s documentation of compliance shall be provided within reasonable time.,
R11,main_6.1_main,"The Data Processor is given general authorization to engage third-parties to process the Personal Data (“Sub-Processors”) without obtaining any further written, specific authorization from the Data Controller, provided that the Data Processor notifies the Data Controller in writing about the identity of a potential Sub-Processor (and its processors, if any) before any agreements are made with the relevant Sub-Processors and before the relevant Sub-Processor processes any of the Personal Data. If the Data Controller wish to object to the relevant Sub- Processor, the Data Controller shall give notice hereof in writing within seven",
R36,main_6.1_7,calendar days from receiving the notification from the Data Processor. Absence of any objections from the Data Controller shall be deemed a consent to the relevant Sub-Processor.,
R27,main_6.2,"The Data Processor shall conclude a written sub-processor agreement with any Sub-Processors. Such an agreement shall at minimum provide the same data protection obligations as the ones applicable to the Data Processor, including the obligations under this Data Processor Agreement. The Data Processor shall on an ongoing basis monitor and control its Sub- Processors’ compliance with the Applicable Law. Documentation of such monitoring and control shall be provided to the Data Controller if so requested in writing.",
R28,main_6.3,The Data Processor is accountable to the Data Controller for any Sub-Processor in the same way as for its own actions and omissions.,
R11,main_6.4,"The Data Processor is at the time of entering into this Data Processor Agreement using the Sub- Processors listed in sub-appendix B. If the Data Processor initiates sub-processing with a new Sub-Processor, such new Sub-Processor shall be added to the list in sub-appendix B under paragraph 2. 7. Remuneration and costs",
R3,main_9.1,The Data processor Agreement shall remain in force until the Main Agreement is terminated. 10. Termination,
R23,main_10.1,The Data Processor’s authorization to process Personal Data on behalf of the Data Controller shall be annulled at the termination of this Data Processor Agreement.,
R3,main_10.2,"The Data Processor shall continue to process the Personal Data for up to three months after the termination of the Data Processor Agreement to the extent it is necessary and required under the Applicable Law. In the same period, the Data Processor is entitled to include the Personal Data in the Data Processor’s backup. The Data Processor’s processing of the Data Controller’s Personal Data in the three months after the termination of this Data Processor Agreement shall be considered as being in accordance with the Instruction.",
R23,main_10.3,"At the termination of this Data Processor Agreement, the Data Processor and its Sub- Processors shall return the Personal Data processed under this Data Processor Agreement to the Data Controller, provided that the Data Controller is not already in possession of the Personal Data. The Data Processor is hereafter obliged to delete all the Personal Data and provide documentation for such deletion to the Data Controller. 11. Contact",
R1,main_11.1,The contact information for the Data Processor and the Data Controller is provided in the Main Agreement..,
