rule_id,corresponding_sentences,matching_degrees
R1,,
R2,"BETWEEN:
Customer hereinafter referred to as “Controller”
and
Processor, having its registered address at Refshalevej 14, 1423 Havana, Cuba, hereinafter referred to as: “Processor”
collectively referred to as “Parties” and individually referred to as “Party”.",Full
R3,"The effective date of the Agreement is determined by the effective date of the Main Agreement.

Notwithstanding termination of this Agreement according to this clause 14, the Agreement shall be force for as long as the Processor Processes Personal Data on behalf of the Controller for example in respect of the deletion processes described in Appendix 4.","Partial,Full"
R4,"The purpose of the Agreement is to ensure the Parties' compliance with Article 28 (3) of the General Data Protection Regulation, Regulation (EU) 2016/679 of the European Parliament and of the Council of 27 April 2016 (hereinafter ""the GDPR"") stipulating specific requirements to the content of a data processing agreement.",Full
R5,"The Personal Data Processed may fall within any of the following categories of data.

Non-sensitive data (cf. GDPR article 6) of any kind including but not limited to contact information such as name, address, phone and/or mobile, gender, age, date of birth, preferences, employment position, family status etc.

National identification number.

Sensitive data (cf. GDPR article 9)*.

Data relating to criminal convictions and offences (cf. GDPR art. 10).

*Sensitive data includes: data revealing racial or ethnic origin, political opinions, religious and/or philosophical beliefs, trade union membership, processing of genetic data or biometric data for the purpose of uniquely identifying a natural person, data concerning health and/or data concerning a natural person's sex life or sexual orientation","Full,Full,Full,Full,Full,Full"
R6,"The Controller will import Personal Data to the Services for Processing by Processor that may concern any of the following categories of Data Subjects, including but not limited to:

Controller’s employees, board members and officers

Controller’s customers, clients and other business partners

Citizens of Controller

Students, pupils and other users of public and private institutions

Children

Patients and relatives

Private users

Business Users

Members of foundations, unions, associations and/or political originations","Full,Full,Full,Full,Full,Full,Full,Full,Full,Full"
R7,"The Processor agrees to implement appropriate technical and organisational measures in such a manner that the Processing of the Personal Data will meet the requirements of the GDPR and other applicable national and EU data protection law and ensure the protection of the rights of the Data Subjects.

Neither Party is permitted to disclose any confidential information.

encryption of Personal Data when transmitted via public networks and in connection with remote access to Controller’s systems;

the ability to ensure the ongoing confidentiality, integrity, availability and resilience of Processing systems and Services;

the ability to restore the availability and access to Personal Data in a timely manner in the event of a physical or technical incident;

a process for testing, assessing and evaluating the effectiveness of technical and organisational measures for ensuring the security of the Processing.","Full,Partial,Partial,Partial,Partial,Partial"
R8,The aforementioned notification shall describe the nature of the Personal Data Breach including where possible: (i) the (estimated) time of the Personal Data Breach; (ii) the likely consequences of the Personal Data Breach; (iii) reasonable measures taken or proposed by the Processor to mitigate the consequences of the Personal Data Breach.,Full
R9,,
R10,"The Processor shall not engage a Sub-processor, unless this is approved by the Controller by (i) a general or specific authorisation according to Appendix 5 to this Agreement or (ii) specific instruction from the Controller.

The Controller hereby gives the Processor its prior general written authorisation to the Processor to use Sub-processors.

If the Controller and the Processor has entered into a Consultancy Agreement as part of the Main Agreement, the Processor may engage Sub- processors for the provision of the consultancy Services to the Controller.","Full,Full,Full"
R11,"In the case of general written authorisation, the Processor shall inform the Controller of any intended changes concerning the addition or replacement of Sub-processors, thereby giving the Controller the opportunity to object to such changes.

in the event that (i) the changes cannot be made due to technical, practical or legal reasons, (ii) the Controller explicitly states that the changes are to apply before implementation is possible, or (iii) during the period until the Parties carry through any necessary changes of the Agreement in accordance with the amendment procedures herein.","Full,Full"
R12,"The Processor shall Process the Personal Data only on documented instructions from the Controller.

The Parties agree that this Agreement shall constitute the instructions as of the date of the Agreement.

to Process Personal Data only in accordance with the instructions from the Controller, cf.","Full,Partial,Full"
R13,"clause 2 of this Agreement, including with regard to transfers of Personal Data to a Third Country or an international organisation, unless required to do so by Union or Member State law to which the Processor is subject; in such a case, the Processor shall inform the Controller of that legal requirement before Processing, unless that law prohibits such information on important grounds of public interest;

A Party may only disclose confidential information when obliged by applicable law or unless otherwise agreed upon, signed in writing.","Full,Partial"
R14,"clause 2 of this Agreement, including with regard to transfers of Personal Data to a Third Country or an international organisation, unless required to do so by Union or Member State law to which the Processor is subject; in such a case, the Processor shall inform the Controller of that legal requirement before Processing, unless that law prohibits such information on important grounds of public interest;",Full
R15,Processor ensures that persons authorised to process the Personal Data have committed themselves to confidentiality or are under an appropriate statutory obligation of confidentiality.,Full
R16,The Processor agrees to implement appropriate technical and organisational measures in such a manner that the Processing of the Personal Data will meet the requirements of the GDPR and other applicable national and EU data protection law and ensure the protection of the rights of the Data Subjects.,Full
R17,"where necessary and taking into account the nature of the Processing, to assist the Controller by appropriate technical and organisational measures, insofar as this is possible, for the fulfilment of the Controller's obligation by law to respond to requests for exercising the Data Subjects’ rights laid down in chapter III of the GDPR;",Full
R18,,
R19,,
R20,,
R21,,
R22,,
R23,"Upon expiry of the Agreement the Processor will delete all of Controller’s data including the Personal Data, unless EU or national Member State law requires storage of the Personal Data.

Upon termination of the account a grace period of twenty (20) days will take effect.

Hereafter Controller’s data will be automatically deleted after ninety (90) days.","Full,Partial,Full"
R24,,
R25,"to provide Controller upon request and within reasonable time the information necessary to demonstrate compliance with the obligations laid down in this clause 5;

The Processor shall make the records available to the Controller and the supervisory authority on request.","Full,Full"
R26,"to allow for and contribute during normal business hours to reasonably necessary audits including inspections, conducted by an external qualified auditor mandated by the Controller, solely for the purpose of fulfilment of the Controller's obligations laid down in Article 28 of the GDPR and for accurately stipulated research questions in this connection provided that such external qualified auditor is subject to and bound by confidentiality obligations as stipulated in clause 12 of this Agreement;

If the Controller requests the Processor to document its Sub-Processor’s compliance with the obligations laid down in Article 28 of the GDPR the Processor shall be entitled to fulfil this obligation by referring Controller to the relevant audit reports or similar documentation made available by the respective Sub-Processors with information indicating that the Sub-Processor in question complies with the GDPR, provided that such audit report(s) or similar documentation shall be based on applicable, acknowledged audit standards, e.g.

ISAE 3000 or 3402, ISO 27001 or similar standards.

All costs and expenses of audits or inspections required and conducted by the Controller or its representatives in respect of the Processor’s or the Processor’s Sub-processors’ compliance with article 28 of the GDPR shall be borne solely by Controller unless otherwise specifically follows from the Agreement.","Full,Full,Full,Partial"
R27,"In the event that Processor engages Sub-processors for carrying out Processing activities on behalf of the Controller in accordance with Appendix 5, the same data protection obligations as set out in this Agreement shall be imposed on that Sub-processor by way of a contract or other legal act under EU or national Member State law, in particular providing sufficient guarantees to implement appropriate technical and organisational measures in such a manner that the Processing will meet the requirements of this Agreement.",Full
R28,Processor shall remain liable to the Controller for the performance of its Sub- processor's obligations.,Full
R29,"In assessing the appropriate level of security account shall be taken in particular of the risks that are presented by Processing, in particular from accidental or unlawful destruction, loss, alteration, unauthorised disclosure of, or access to Personal Data transmitted, stored or otherwise processed.",Full
R30,"clause 2 of this Agreement, including with regard to transfers of Personal Data to a Third Country or an international organisation, unless required to do so by Union or Member State law to which the Processor is subject; in such a case, the Processor shall inform the Controller of that legal requirement before Processing, unless that law prohibits such information on important grounds of public interest;",Full
R31,,
R32,"The Processor agrees to implement appropriate technical and organisational measures in such a manner that the Processing of the Personal Data will meet the requirements of the GDPR and other applicable national and EU data protection law and ensure the protection of the rights of the Data Subjects.

Taking into account the state of the art, the costs of implementation and the nature, scope, context and purposes of Processing as well as the risk of varying likelihood and severity for the rights and freedoms of natural persons, the Controller and the Processor shall implement appropriate technical and organisational measures to ensure a level of security appropriate to the risk, including inter alia as appropriate:","Full,Full"
R33,"The Processor must ensure that the persons performing work for the Processor and who have access to Personal Data, only process such Personal Data as instructed by the Controller, unless processing is required under applicable EU law or national legislation.",Full
R34,"to notify Controller in the event of a Personal Data Breach as set out in clause of this Agreement;

Processor will notify the Controller without undue delay after becoming aware of a Personal Data Breach.","Full,Full"
R35,"Notwithstanding the before mentioned, Processor is not entitled to remuneration for circumstances which are attributable to

Processor’s breach of security or Processor’s breach of it’s obligations as set

out in this Agreement.","Partial,Partial,Partial"
R36,"In the case of general written authorisation, the Processor shall inform the Controller of any intended changes concerning the addition or replacement of Sub-processors, thereby giving the Controller the opportunity to object to such changes.",Full
R37,,
R38,"A Party may terminate the Main Agreement in the event of the other Party’s material breach of this Agreement.

Where such breach is capable of being remedied, a Party may only terminate the Main Agreement if the breaching Party has not remedied such breach within 30 days after giving written notice of such breach and the consequences of failure to remedy the breach.","Full,Full"
R39,,
R40,,
R41,,
R42,"where necessary and taking into account the nature of the Processing, to assist the Controller in its compliance with an obligation to carry out a data protection impact assessment (“DPIA”) and prior consulting of supervisory authorities where required, cf. articles 35 and 36 of the GDPR;",Full
R43,,
R44,,
R45,,
R46,"The Processor shall not be liable for loss or damages if caused by the Controller’s failure to comply with its obligations according to applicable EU or national data protection laws and regulations or this Agreement.

Nor shall the Processor be liable for loss or damages in the event of the Controller’s breach of the Main Agreement and/or other agreement between the Parties involving Processing of Personal Data, or the Controller’s failure to comply with its

obligations towards a supervisory authority, or for penalties imposed by a

supervisory authority due to the Controller’s breach or failure to comply.","Full,Partial,Partial,Partial"
