rule_id,contract_clause_id,retrieved_sentence,retrieval_score
R1,7.1_ii,name and contact details of the Controller;,0.5044
R10,1.2__3_30__3,days after deletion. Notwithstanding the expiry of the Agreement the Processor's Processing of the Controller’s Personal Data during the deletion periods stipulated in the above clauses is to be regarded as taking place according to the Controller’s instructions. Appendix 5 Sub-processors This Appendix forms part of the Agreement. I. General Authorisation 1. The Controller hereby gives the Processor its prior general written authorisation to the Processor to use Sub-processors. A list of the Sub- Processors used by the Processor at the date of the Agreement is made available hereunder: 2. Microsoft Azure,0.5618
R10,10.1_ii,specific instruction from the Controller.,0.5382
R10,10.3,"In the case of general written authorisation, the Processor shall inform the Controller of any intended changes concerning the addition or replacement of Sub-processors, thereby giving the Controller the opportunity to object to such changes. However, the Controller cannot object to any intended changes concerning the addition or replacement of Sub-processors, if the new Sub-processor provides sufficient guarantees with respect to implementation of appropriate technical and organizational measures in such a manner that the Processing will meet the requirements of the GDPR as outlined in this Agreement. If the Controller does not object to changes concerning the addition or replacement of Sub-processors within 30 days from the Processor’s notification of the intended changes, such changes shall be deemed to be accepted by the Controller.",0.5689
R11,10.1_main,"The Processor shall not engage a Sub-processor, unless this is approved by the Controller by",0.6056
R11,10.3,"In the case of general written authorisation, the Processor shall inform the Controller of any intended changes concerning the addition or replacement of Sub-processors, thereby giving the Controller the opportunity to object to such changes. However, the Controller cannot object to any intended changes concerning the addition or replacement of Sub-processors, if the new Sub-processor provides sufficient guarantees with respect to implementation of appropriate technical and organizational measures in such a manner that the Processing will meet the requirements of the GDPR as outlined in this Agreement. If the Controller does not object to changes concerning the addition or replacement of Sub-processors within 30 days from the Processor’s notification of the intended changes, such changes shall be deemed to be accepted by the Controller.",0.9541
R11,3.2__3,If the Processor uses one or more Sub-processors for the provision of consultancy Services this is regulated in detail in the Main Agreement (Consultancy Agreement). The Processor will notify the Controller in accordance with clause 10.3 of the Agreement if changes in the Sub- processors applied for the provision of the consultancy Services are made.,0.5723
R12,1.2__2,"As part of the Main Agreement the Controller may also choose to use third party integration services and/or applications made available by the Processor on Processor.com in cooperation with the third party providers of such integration services and applications. If the Controller uses such third party integration services and/or applications it hereby authorises the Processor to: i) provide, transmit or transfer the data, including Personal Data, of the Controller to the third party provider of the relevant integration service and/or application, provided and only to the extent this is necessary for the performance and use by Controller of the said integration services and/or applications, and ii) Process data, including Personal Data, of the Controller that are transferred from the third party provider of the relevant integration service and/or application to the Controller’s Services with Processor.",0.5597
R12,12.4,"The Processor must ensure that the persons performing work for the Processor and who have access to Personal Data, only process such Personal Data as instructed by the Controller, unless processing is required under applicable EU law or national legislation. 13. Liability",0.6434
R12,2.1__1,"The Controller hereby authorises the Processor to Process the Personal Data on behalf of the Controller on the terms and conditions set out in this Agreement. The Processor shall Process the Personal Data only on documented instructions from the Controller. The Parties agree that this Agreement shall constitute the instructions as of the date of the Agreement. The Processor may – unless otherwise specifically is set out in the Agreement – apply all relevant means, including software, servers and IT systems.",0.7196
R12,5.2,"to Process Personal Data only in accordance with the instructions from the Controller, cf. clause 2 of this Agreement, including with regard to transfers of Personal Data to a Third Country or an international organisation, unless required to do so by Union or Member State law to which the Processor is subject; in such a case, the Processor shall inform the Controller of that legal requirement before Processing, unless that law prohibits such information on important grounds of public interest;",0.7916
R13,5.2,"to Process Personal Data only in accordance with the instructions from the Controller, cf. clause 2 of this Agreement, including with regard to transfers of Personal Data to a Third Country or an international organisation, unless required to do so by Union or Member State law to which the Processor is subject; in such a case, the Processor shall inform the Controller of that legal requirement before Processing, unless that law prohibits such information on important grounds of public interest;",0.6900
R14,5.2,"to Process Personal Data only in accordance with the instructions from the Controller, cf. clause 2 of this Agreement, including with regard to transfers of Personal Data to a Third Country or an international organisation, unless required to do so by Union or Member State law to which the Processor is subject; in such a case, the Processor shall inform the Controller of that legal requirement before Processing, unless that law prohibits such information on important grounds of public interest;",0.8859
R15,12.3,Processor ensures that persons authorised to process the Personal Data have committed themselves to confidentiality or are under an appropriate statutory obligation of confidentiality.,0.8922
R16,3.1__1,The Processor agrees to implement appropriate technical and organisational measures in such a manner that the Processing of the Personal Data will meet the requirements of the GDPR and other applicable national and EU data protection law and ensure the protection of the rights of the Data Subjects.,0.7126
R16,3.5_c,the ability to restore the availability and access to Personal Data in a timely manner in the event of a physical or technical incident;,0.4645
R16,3.5_d,"a process for testing, assessing and evaluating the effectiveness of technical and organisational measures for ensuring the security of the Processing. 2. In assessing the appropriate level of security account shall be taken in particular of the risks that are presented by Processing, in particular from accidental or unlawful destruction, loss, alteration, unauthorised disclosure of, or access to Personal Data transmitted, stored or otherwise processed. 3. The Processor hosts the data, including Personal Data, of the Controller via Microsoft Cloud Azure. The online hosting Services are delivered from data centres solely situated within EU, in Ireland and the Netherlands. 4. Microsoft Azure platform provides the security measures as described on www.Processor.com. 5. Particular security measures to be taken out by the Processor under this Agreement are specified in detail on www.Processor.com (Processor's Security and Privacy Protection Policies). Appendix 3 Costs for assistance and audits This Appendix forms part of the Agreement. 1. In the event that Controller requires assistance from the Processor or any of the Processor’s Sub-processors pursuant to this Agreement, such assistance is charged as follows:",0.5735
R16,3.5_main,"Data relating to criminal convictions and offences (cf. GDPR art. 10). *Sensitive data includes: data revealing racial or ethnic origin, political opinions, religious and/or philosophical beliefs, trade union membership, processing of genetic data or biometric data for the purpose of uniquely identifying a natural person, data concerning health and/or data concerning a natural person's sex life or sexual orientation Please note that for the processing of sensitive data, explicit consent of the Data Subject is required. Appendix 2 Security of Processing This Appendix forms part of the Agreement. 1. Taking into account the state of the art, the costs of implementation and the nature, scope, context and purposes of Processing as well as the risk of varying likelihood and severity for the rights and freedoms of natural persons, the Controller and the Processor shall implement appropriate technical and organisational measures to ensure a level of security appropriate to the risk, including inter alia as appropriate: (a) encryption of Personal Data when transmitted via public networks and in connection with remote access to Controller’s systems; (b) the ability to ensure the ongoing confidentiality, integrity, availability and resilience of Processing systems and Services;",0.7110
R16,5.1,to Process the Personal Data in accordance with the security measures set out in Appendix 2;,0.5573
R16,7.1_v,a general description of the technical and organisational security measures as referred to in Appendix 2 and subsequent amendments thereto.,0.5290
R17,5.3,"where necessary and taking into account the nature of the Processing, to assist the Controller by appropriate technical and organisational measures, insofar as this is possible, for the fulfilment of the Controller's obligation by law to respond to requests for exercising the Data Subjects’ rights laid down in chapter III of the GDPR;",0.6190
